,BTCUSDT,ETHUSDT,BNBUSDT,LTCUSDT,NEOUSDT,XRPUSDT,ADAUSDT,BELUSDT,XLMUSDT,BATUSDT,LINKUSDT,BANDUSDT,ONTUSDT,IOTAUSDT
1688,18237.52000000,558.13000000,27.85490000,74.95000000,16.49200000,0.56819000,0.14490000,1.31470000,0.16975000,0.21510000,12.17500000,6.66630000,0.49310000,0.29710000
1689,18145.00000000,554.10000000,27.65270000,74.30000000,16.37700000,0.56066000,0.14249000,1.28080000,0.16791000,0.21260000,12.14010000,6.55180000,0.49120000,0.29450000
1690,18192.49000000,554.99000000,27.60130000,75.00000000,16.47200000,0.56577000,0.14329000,1.28290000,0.16891000,0.21260000,12.14590000,6.55870000,0.49350000,0.29590000
1691,18209.96000000,556.78000000,27.63190000,75.05000000,16.50300000,0.56782000,0.14356000,1.29100000,0.17008000,0.21330000,12.20520000,6.61550000,0.49570000,0.29690000
1692,18233.65000000,561.06000000,27.75610000,75.57000000,16.48200000,0.57234000,0.14430000,1.31400000,0.16944000,0.21440000,12.18390000,6.56800000,0.49710000,0.29690000
1693,18079.99000000,552.59000000,27.53300000,74.33000000,16.19600000,0.56455000,0.14173000,1.28280000,0.16524000,0.21100000,12.03030000,6.36350000,0.49000000,0.29290000
1694,18134.08000000,557.64000000,27.79330000,74.54000000,16.28400000,0.56922000,0.14264000,1.29970000,0.16881000,0.21260000,12.07080000,6.40590000,0.49240000,0.29400000
1695,18176.99000000,559.58000000,27.74050000,74.54000000,16.33800000,0.57578000,0.14366000,1.29450000,0.16897000,0.21310000,12.04960000,6.43850000,0.49560000,0.29550000
1696,18213.86000000,558.95000000,27.72160000,74.44000000,16.34800000,0.57478000,0.14365000,1.30110000,0.16732000,0.21270000,12.04920000,6.43410000,0.49570000,0.29350000
1697,18274.75000000,560.07000000,27.71960000,74.68000000,16.26500000,0.57547000,0.14253000,1.34290000,0.16621000,0.21180000,12.05490000,6.38740000,0.49480000,0.29160000
1698,18403.10000000,565.47000000,27.74360000,74.93000000,16.37800000,0.57929000,0.14189000,1.34530000,0.16655000,0.21170000,12.09920000,6.50170000,0.49860000,0.29220000
1699,18365.78000000,564.70000000,27.75430000,75.18000000,16.39500000,0.57669000,0.14259000,1.32530000,0.16496000,0.21200000,12.14790000,6.55520000,0.50100000,0.28660000
1700,18349.00000000,563.68000000,27.73460000,75.10000000,16.32100000,0.57619000,0.14255000,1.32720000,0.16369000,0.21160000,12.04520000,6.48760000,0.49790000,0.28860000
1701,18326.36000000,563.11000000,27.74880000,75.35000000,16.35000000,0.57781000,0.14248000,1.32630000,0.16497000,0.21030000,12.02000000,6.46930000,0.49710000,0.28480000
1702,18254.63000000,558.99000000,27.69260000,74.70000000,16.23800000,0.57267000,0.14188000,1.29850000,0.16073000,0.20870000,11.91720000,6.39340000,0.49410000,0.28520000
1703,18018.32000000,548.64000000,27.29290000,72.75000000,15.89000000,0.55474000,0.13912000,1.23980000,0.15789000,0.20450000,11.63470000,6.07270000,0.48480000,0.27860000
1704,17901.45000000,546.09000000,27.15620000,71.86000000,15.90200000,0.55330000,0.13809000,1.22200000,0.15887000,0.20360000,11.75740000,6.11340000,0.48350000,0.27620000
1705,17804.97000000,542.42000000,27.07050000,71.13000000,15.80800000,0.55129000,0.13703000,1.18020000,0.15902000,0.20230000,11.67680000,6.09100000,0.48050000,0.27470000
1706,17990.88000000,547.27000000,27.22390000,72.07000000,16.01800000,0.56052000,0.13903000,1.19460000,0.16303000,0.20380000,11.80740000,6.20080000,0.48330000,0.27800000
1707,17959.72000000,545.36000000,27.16520000,71.83000000,15.98400000,0.55650000,0.13864000,1.17600000,0.16016000,0.20360000,11.76770000,6.14750000,0.48110000,0.27670000
1708,17899.44000000,544.50000000,27.11780000,71.68000000,15.87500000,0.55474000,0.13854000,1.16060000,0.15928000,0.20320000,11.80110000,6.12800000,0.47850000,0.27590000
1709,17923.60000000,544.10000000,27.12500000,71.36000000,15.76900000,0.55564000,0.13838000,1.16060000,0.15973000,0.20430000,11.76290000,6.10180000,0.47870000,0.27490000
1710,17811.95000000,541.68000000,27.06310000,71.17000000,15.65600000,0.55526000,0.13782000,1.14570000,0.15924000,0.20360000,11.66870000,6.12680000,0.47630000,0.27200000
1711,17898.79000000,544.90000000,27.18380000,71.28000000,15.90600000,0.56064000,0.13940000,1.16100000,0.16043000,0.20470000,11.73990000,6.11070000,0.47810000,0.27640000
1712,17802.60000000,541.50000000,27.03190000,70.77000000,15.68400000,0.55347000,0.13785000,1.14450000,0.15822000,0.20330000,11.65720000,6.06340000,0.47550000,0.27350000
1713,17758.45000000,540.08000000,26.91420000,70.69000000,15.66300000,0.54352000,0.13723000,1.13920000,0.15724000,0.20220000,11.59120000,5.95150000,0.47250000,0.27200000
1714,17647.71000000,538.87000000,26.82710000,70.68000000,15.62600000,0.53591000,0.13552000,1.12610000,0.15615000,0.20130000,11.49990000,5.84180000,0.47320000,0.27000000
1715,17864.73000000,543.91000000,27.10000000,72.05000000,15.82100000,0.54724000,0.13742000,1.14630000,0.15841000,0.20340000,11.59530000,5.99360000,0.47900000,0.27460000
1716,17972.01000000,549.58000000,27.18780000,72.37000000,15.92300000,0.55693000,0.13926000,1.17660000,0.16017000,0.20530000,11.64670000,6.15310000,0.48260000,0.27600000
1717,18058.76000000,552.79000000,27.33920000,73.01000000,15.98700000,0.55659000,0.14061000,1.18090000,0.16064000,0.20600000,11.71360000,6.11460000,0.48800000,0.27770000
1718,18104.74000000,554.20000000,27.35960000,72.95000000,16.02700000,0.56019000,0.14154000,1.16610000,0.15932000,0.20590000,11.74840000,6.15810000,0.48680000,0.27930000
1719,17978.14000000,548.70000000,27.22720000,71.87000000,15.89000000,0.55114000,0.13980000,1.15320000,0.15696000,0.20440000,11.57480000,6.05550000,0.48430000,0.27530000
